 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.96661e+09 -1.54994e+07 0.00000e+00 -1.31473e+07 3.72989e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.91675e+09 5.17240e-02 -6.85114e-02 0.00000e+00 0.00000e+00 900 2.29991e+00 0.00000e+00 0.00000e+00
2.70212e+09 -1.50761e+07 0.00000e+00 -1.29078e+07 3.53280e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.69674e+09 5.11920e-02 -6.86485e-02 0.00000e+00 0.00000e+00 920 2.35240e+00 0.00000e+00 0.00000e+00
2.64241e+09 -1.54996e+07 0.00000e+00 -1.34575e+07 3.42322e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.56234e+09 5.04859e-02 -6.88080e-02 0.00000e+00 0.00000e+00 940 2.40487e+00 0.00000e+00 0.00000e+00
2.37841e+09 -1.55765e+07 0.00000e+00 -1.37474e+07 3.19987e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.36869e+09 5.04736e-02 -6.89677e-02 0.00000e+00 0.00000e+00 960 2.45735e+00 0.00000e+00 0.00000e+00
2.15486e+09 -1.42885e+07 0.00000e+00 -1.26684e+07 3.03030e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.24302e+09 5.09981e-02 -6.92207e-02 0.00000e+00 0.00000e+00 980 2.50973e+00 0.00000e+00 0.00000e+00
1.87330e+09 -1.14399e+07 0.00000e+00 -1.00438e+07 2.79838e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.10065e+09 5.14082e-02 -6.94552e-02 0.00000e+00 0.00000e+00 1000 2.56212e+00 0.00000e+00 0.00000e+00
1.61120e+09 -7.63229e+06 0.00000e+00 -6.43196e+06 2.58319e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.95856e+09 5.20342e-02 -6.98440e-02 0.00000e+00 0.00000e+00 1020 2.61437e+00 0.00000e+00 0.00000e+00
1.31689e+09 -3.57272e+06 0.00000e+00 -2.58360e+06 2.32259e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.73304e+09 5.36800e-02 -7.02298e-02 0.00000e+00 0.00000e+00 1040 2.66661e+00 0.00000e+00 0.00000e+00
9.93597e+08 -3.06871e+05 0.00000e+00 5.01198e+05 2.02414e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.46770e+09 5.45897e-02 -7.07932e-02 0.00000e+00 0.00000e+00 1060 2.71868e+00 0.00000e+00 0.00000e+00
7.72897e+08 1.35747e+06 0.00000e+00 2.07055e+06 1.79203e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.23922e+09 5.28670e-02 -7.13949e-02 0.00000e+00 0.00000e+00 1080 2.77071e+00 0.00000e+00 0.00000e+00
5.00676e+08 3.81190e+06 0.00000e+00 4.47213e+06 1.48494e+09 0.00000e+00 0.00000e+00 0.00000e+00 9.75541e+08 4.87489e-02 -7.21577e-02 0.00000e+00 0.00000e+00 1100 2.82258e+00 0.00000e+00 0.00000e+00
2.40807e+08 3.42158e+06 0.00000e+00 3.99212e+06 1.11286e+09 0.00000e+00 0.00000e+00 0.00000e+00 6.71630e+08 3.80994e-02 -7.29936e-02 0.00000e+00 0.00000e+00 1120 2.87438e+00 0.00000e+00 0.00000e+00
8.98492e+07 3.61975e+06 0.00000e+00 4.15693e+06 8.82006e+08 0.00000e+00 0.00000e+00 0.00000e+00 5.21973e+08 3.05537e-02 -7.40147e-02 0.00000e+00 0.00000e+00 1140 2.92599e+00 0.00000e+00 0.00000e+00
