 Displacements:0   Displacements:1   Displacements:2   Equivalent_Plastic_Strain   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
0.00000e+00 3.23557e-01 0.00000e+00 1.97874e-01 5.71513e+08 -7.11339e+08 0.00000e+00 -1.01541e+09 1.30785e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.28096e+08 1 7.44339e-04 0.00000e+00 3.32356e+00 0.00000e+00
0.00000e+00 3.29407e-01 0.00000e+00 1.97874e-01 8.53201e+08 -7.05814e+08 0.00000e+00 -1.04306e+09 3.81459e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.07534e+08 1 7.57578e-04 0.00000e+00 3.32941e+00 0.00000e+00
0.00000e+00 3.35133e-01 0.00000e+00 1.97874e-01 2.24540e+08 -7.22301e+08 0.00000e+00 -9.88220e+08 -2.24925e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.10334e+09 1 7.70816e-04 0.00000e+00 3.33513e+00 0.00000e+00
0.00000e+00 3.41042e-01 0.00000e+00 1.97874e-01 8.94905e+08 -7.03728e+08 0.00000e+00 -1.04555e+09 3.93930e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.68151e+08 1 7.84054e-04 0.00000e+00 3.34104e+00 0.00000e+00
0.00000e+00 3.46808e-01 0.00000e+00 1.97874e-01 6.62943e+08 -7.03262e+08 0.00000e+00 -1.01493e+09 1.13604e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.29180e+08 1 7.97293e-04 0.00000e+00 3.34681e+00 0.00000e+00
0.00000e+00 3.52594e-01 0.00000e+00 1.97874e-01 4.10799e+08 -7.13851e+08 0.00000e+00 -9.98801e+08 -1.21363e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.02911e+09 1 8.10531e-04 0.00000e+00 3.35259e+00 0.00000e+00
0.00000e+00 3.58511e-01 0.00000e+00 1.97874e-01 1.04507e+09 -7.02867e+08 0.00000e+00 -1.06316e+09 5.08427e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.97996e+08 1 8.23770e-04 0.00000e+00 3.35851e+00 0.00000e+00
0.00000e+00 3.64215e-01 0.00000e+00 1.97874e-01 4.85015e+08 -6.99497e+08 0.00000e+00 -9.87102e+08 -1.32752e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.02804e+09 1 8.37008e-04 0.00000e+00 3.36421e+00 0.00000e+00
0.00000e+00 3.70070e-01 0.00000e+00 1.97874e-01 7.26253e+08 -6.98305e+08 0.00000e+00 -1.01592e+09 9.83097e+07 0.00000e+00 0.00000e+00 0.00000e+00 -8.89929e+08 1 8.50246e-04 0.00000e+00 3.37007e+00 0.00000e+00
0.00000e+00 3.75944e-01 0.00000e+00 1.97874e-01 1.01092e+09 -7.01123e+08 0.00000e+00 -1.05614e+09 4.23452e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.30121e+08 1 8.63485e-04 0.00000e+00 3.37594e+00 0.00000e+00
